cpf,name,country,score
100,Randa,Isle of Man,91
101,Elfreda,United Kingdom,32
102,Vevay,Faroe Islands,4
103,Kalina,Jersey,11
104,Christian,"Congo, The Democratic Republic of the",28
105,Rochette,Tuvalu,23
106,Iseabal,Dominican Republic,96
107,Ninnetta,Portugal,93
108,Meg,Croatia,78
109,Shauna,Greece,71
110,Marleah,Madagascar,1
111,Brooks,Suriname,95
112,Cherrita,Cameroon,91
113,Deloria,Iceland,35
114,Daphne,Samoa,70
115,Madelle,Fiji,90
116,Lulita,Mayotte,41
117,Elbertina,United States Minor Outlying Islands,23
118,Minda,Togo,33
119,Ileana,Thailand,62
120,Josephine,British Indian Ocean Territory,6
121,Iseabal,Burkina Faso,1
122,Blake,Mali,73
123,Cassandra,French Guiana,35
124,Fanchon,"Macedonia, The Former Yugoslav Republic of",69
125,Olivette,Angola,52
126,Hettie,Comoros,35
127,Gilda,Ghana,17
128,Rani,Saint Kitts and Nevis,71
129,Anestassia,Panama,31
130,Tressa,Wallis and Futuna,16
131,Jenda,Iceland,41
132,Cindelyn,Mayotte,7
133,Dawn,Svalbard and Jan Mayen,54
134,Kenna,Azerbaijan,34
135,Celene,Israel,79
136,Donnie,Wallis and Futuna,20
137,Perry,Luxembourg,23
138,Laure,Brunei Darussalam,4
139,Gabriellia,Equatorial Guinea,59
140,Dagmar,Aruba,75
141,Dawn,Trinidad and Tobago,44
142,Clo,Maldives,100
143,Berta,Macao,79
144,Corry,Ethiopia,27
145,Halette,Northern Mariana Islands,40
146,Jackie,Colombia,69
147,Stacey,French Polynesia,24
148,Iseabal,"Korea, Democratic People""S Republic of",0
149,Frieda,Kazakhstan,11
150,Kimberley,Saudi Arabia,16
151,Emelina,United Kingdom,6
152,Glenda,Congo,7
153,Genevra,China,3
154,Lynde,Oman,54
155,Chastity,Niger,94
156,Cissiee,Indonesia,7
157,Laurene,Mauritania,36
158,Meriel,Panama,85
159,Cassandra,Colombia,17
160,Gwenneth,Tunisia,50
161,Dione,Malaysia,14
162,Lolita,Kenya,56
163,Rosanne,Jamaica,25
164,Marnia,Panama,41
165,Magdalena,Nigeria,16
166,Collen,Argentina,83
167,Desirae,Slovakia,6
168,Rosabelle,Belize,88
169,Linet,"Lao People""S Democratic Republic",85
170,Modestia,Kenya,98
171,Jasmina,Falkland Islands (Malvinas),9
172,Liana,Zimbabwe,9
173,Ann-Marie,Burkina Faso,30
174,Ermengarde,Kuwait,88
175,Stacey,Haiti,97
176,Gavrielle,Pakistan,96
177,Therine,Mali,47
178,Mallory,Greece,44
179,Sara-Ann,Timor-Leste,21
180,Roxane,Thailand,17
181,Joy,"Virgin Islands, U.S.",10
182,Karolina,American Samoa,58
183,Taffy,Syrian Arab Republic,51
184,Jacenta,Puerto Rico,100
185,Augustine,Mauritania,48
186,Patricia,Senegal,9
187,Sadie,United States Minor Outlying Islands,48
188,Fanchon,Western Sahara,14
189,Ashlee,Uruguay,33
190,Carol-Jean,American Samoa,60
191,Jsandye,Mexico,52
192,Linzy,Uzbekistan,75
193,Anallese,Philippines,19
194,Babita,American Samoa,90
195,Lila,United Kingdom,63
196,Talya,Philippines,96
197,Gusty,Ghana,79
198,Charlena,"Iran, Islamic Republic Of",53
199,Karena,Denmark,54
200,Minda,Turks and Caicos Islands,65
201,Verla,New Caledonia,10
202,Chandra,New Zealand,56
